Date,INJCJC,INJCJC4
19-Apr-96,368,371.75
26-Apr-96,343,359.25
3-May-96,338,351.5
10-May-96,352,350.25
17-May-96,345,344.5
24-May-96,343,344.5
31-May-96,340,345
7-Jun-96,351,344.75
14-Jun-96,342,344
21-Jun-96,341,343.5
28-Jun-96,337,342.75
5-Jul-96,342,340.5
12-Jul-96,347,341.75
19-Jul-96,332,339.5
26-Jul-96,327,337
2-Aug-96,326,333
9-Aug-96,331,329
16-Aug-96,336,330
23-Aug-96,337,332.5
30-Aug-96,329,333.25
6-Sep-96,333,333.75
13-Sep-96,338,334.25
20-Sep-96,352,338
27-Sep-96,348,342.75
4-Oct-96,335,343.25
11-Oct-96,334,342.25
18-Oct-96,335,338
25-Oct-96,352,339
1-Nov-96,334,338.75
8-Nov-96,327,337
15-Nov-96,342,338.75
22-Nov-96,347,337.5
29-Nov-96,332,337
6-Dec-96,355,344
13-Dec-96,352,346.5
20-Dec-96,350,347.25
27-Dec-96,357,353.5
3-Jan-97,347,351.5
10-Jan-97,324,344.5
17-Jan-97,345,343.25
24-Jan-97,340,339
31-Jan-97,333,335.5
7-Feb-97,315,333.25
14-Feb-97,313,325.25
21-Feb-97,322,320.75
28-Feb-97,321,317.75
7-Mar-97,317,318.25
14-Mar-97,319,319.75
21-Mar-97,315,318
28-Mar-97,325,319
4-Apr-97,325,321
11-Apr-97,330,323.75
18-Apr-97,316,324
25-Apr-97,337,327
2-May-97,342,331.25
9-May-97,318,328.25
16-May-97,322,329.75
23-May-97,316,324.5
30-May-97,321,319.25
6-Jun-97,329,322
13-Jun-97,335,325.25
20-Jun-97,316,325.25
27-Jun-97,322,325.5
4-Jul-97,346,329.75
11-Jul-97,328,328
18-Jul-97,301,324.25
25-Jul-97,306,320.25
1-Aug-97,320,313.75
8-Aug-97,329,314
15-Aug-97,343,324.5
22-Aug-97,327,329.75
29-Aug-97,332,332.75
5-Sep-97,313,328.75
12-Sep-97,314,321.5
19-Sep-97,317,319
26-Sep-97,317,315.25
3-Oct-97,311,314.75
10-Oct-97,305,312.5
17-Oct-97,318,312.75
24-Oct-97,306,310
31-Oct-97,313,310.5
7-Nov-97,308,311.25
14-Nov-97,325,313
21-Nov-97,309,313.75
28-Nov-97,318,315
5-Dec-97,317,317.25
12-Dec-97,323,316.75
19-Dec-97,310,317
26-Dec-97,303,313.25
2-Jan-98,312,312
9-Jan-98,331,314
16-Jan-98,341,321.75
23-Jan-98,307,322.75
30-Jan-98,315,323.5
6-Feb-98,311,318.5
13-Feb-98,321,313.5
20-Feb-98,327,318.5
27-Feb-98,317,319
6-Mar-98,308,318.25
13-Mar-98,319,317.75
20-Mar-98,321,316.25
27-Mar-98,312,315
3-Apr-98,312,316
10-Apr-98,304,312.25
17-Apr-98,317,311.25
24-Apr-98,311,311
1-May-98,304,309
8-May-98,306,309.5
15-May-98,315,309
22-May-98,309,308.5
29-May-98,322,313
5-Jun-98,306,313
12-Jun-98,321,314.5
19-Jun-98,349,324.5
26-Jun-98,376,338
3-Jul-98,362,352
10-Jul-98,320,351.75
17-Jul-98,315,343.25
24-Jul-98,335,333
31-Jul-98,327,324.25
7-Aug-98,316,323.25
14-Aug-98,308,321.5
21-Aug-98,302,313.25
28-Aug-98,310,309
4-Sep-98,313,308.25
11-Sep-98,304,307.25
18-Sep-98,305,308
25-Sep-98,294,304
2-Oct-98,302,301.25
9-Oct-98,316,304.25
16-Oct-98,318,307.5
23-Oct-98,309,311.25
30-Oct-98,308,312.75
6-Nov-98,316,312.75
13-Nov-98,334,316.75
20-Nov-98,304,315.5
27-Nov-98,310,316
4-Dec-98,326,318.5
11-Dec-98,305,311.25
18-Dec-98,297,309.5
25-Dec-98,336,316
1-Jan-99,331,317.25
8-Jan-99,345,327.25
15-Jan-99,339,337.75
22-Jan-99,311,331.5
29-Jan-99,305,325
5-Feb-99,291,311.5
12-Feb-99,312,304.75
19-Feb-99,302,302.5
26-Feb-99,301,301.5
5-Mar-99,300,303.75
12-Mar-99,308,302.75
19-Mar-99,305,303.5
26-Mar-99,298,302.75
2-Apr-99,310,305.25
9-Apr-99,319,308
16-Apr-99,314,310.25
23-Apr-99,291,308.5
30-Apr-99,296,305
7-May-99,310,302.75
14-May-99,301,299.5
21-May-99,298,301.25
28-May-99,303,303
4-Jun-99,303,301.25
11-Jun-99,290,298.5
18-Jun-99,292,297
25-Jun-99,291,294
2-Jul-99,287,290
9-Jul-99,288,289.5
16-Jul-99,309,293.75
23-Jul-99,306,297.5
30-Jul-99,300,300.75
6-Aug-99,295,302.5
13-Aug-99,292,298.25
20-Aug-99,286,293.25
27-Aug-99,290,290.75
3-Sep-99,290,289.5
10-Sep-99,281,286.75
17-Sep-99,281,285.5
24-Sep-99,306,289.5
1-Oct-99,309,294.25
8-Oct-99,291,296.75
15-Oct-99,287,298.25
22-Oct-99,280,291.75
29-Oct-99,285,285.75
5-Nov-99,282,283.5
12-Nov-99,281,282
19-Nov-99,276,281
26-Nov-99,288,281.75
3-Dec-99,287,283
10-Dec-99,272,280.75
17-Dec-99,287,283.5
24-Dec-99,268,278.5
31-Dec-99,286,278.25
7-Jan-00,298,284.75
14-Jan-00,289,285.25
21-Jan-00,284,289.25
28-Jan-00,285,289
4-Feb-00,312,292.5
11-Feb-00,300,295.25
18-Feb-00,283,295
25-Feb-00,280,293.75
3-Mar-00,286,287.25
10-Mar-00,270,279.75
17-Mar-00,271,276.75
24-Mar-00,272,274.75
31-Mar-00,266,269.75
7-Apr-00,268,269.25
14-Apr-00,259,266.25
21-Apr-00,274,266.75
28-Apr-00,291,273
5-May-00,293,279.25
12-May-00,276,283.5
19-May-00,280,285
26-May-00,280,282.25
2-Jun-00,290,281.5
9-Jun-00,284,283.5
16-Jun-00,294,287
23-Jun-00,296,291
30-Jun-00,281,288.75
7-Jul-00,293,291
14-Jul-00,303,293.25
21-Jul-00,300,294.25
28-Jul-00,298,298.5
4-Aug-00,306,301.75
11-Aug-00,315,304.75
18-Aug-00,318,309.25
25-Aug-00,312,312.75
1-Sep-00,301,311.5
8-Sep-00,309,310
15-Sep-00,311,308.25
22-Sep-00,288,302.25
29-Sep-00,292,300
6-Oct-00,309,300
13-Oct-00,299,297
20-Oct-00,295,298.75
27-Oct-00,301,301
3-Nov-00,331,306.5
10-Nov-00,318,311.25
17-Nov-00,332,320.5
24-Nov-00,356,334.25
1-Dec-00,338,336
8-Dec-00,321,336.75
15-Dec-00,354,342.25
22-Dec-00,364,344.25
29-Dec-00,353,348
5-Jan-01,337,352
12-Jan-01,318,343
19-Jan-01,343,337.75
26-Jan-01,362,340
2-Feb-01,376,349.75
9-Feb-01,365,361.5
16-Feb-01,358,365.25
23-Feb-01,386,371.25
2-Mar-01,384,373.25
9-Mar-01,375,380.25
16-Mar-01,393,389
23-Mar-01,378,387
30-Mar-01,388,388
6-Apr-01,398,389.25
13-Apr-01,383,386.75
20-Apr-01,400,392.25
27-Apr-01,406,396.75
4-May-01,381,392.5
11-May-01,390,394.25
18-May-01,402,394.75
25-May-01,405,394.5
1-Jun-01,406,400.75
8-Jun-01,411,406
15-Jun-01,394,404
22-Jun-01,381,398
29-Jun-01,394,395
6-Jul-01,401,392.5
13-Jul-01,405,395.25
20-Jul-01,398,399.5
27-Jul-01,388,398
3-Aug-01,401,398
10-Aug-01,394,395.25
17-Aug-01,402,396.25
24-Aug-01,395,398
31-Aug-01,402,398.25
7-Sep-01,408,401.75
14-Sep-01,395,400
21-Sep-01,453,414.5
28-Sep-01,517,443.25
5-Oct-01,476,460.25
12-Oct-01,482,482
19-Oct-01,482,489.25
26-Oct-01,483,480.75
2-Nov-01,440,471.75
9-Nov-01,428,458.25
16-Nov-01,431,445.5
23-Nov-01,491,447.5
30-Nov-01,465,453.75
7-Dec-01,393,445
14-Dec-01,389,434.5
21-Dec-01,416,415.75
28-Dec-01,421,404.75
4-Jan-02,397,405.75
11-Jan-02,418,413
18-Jan-02,405,410.25
25-Jan-02,414,408.5
1-Feb-02,404,410.25
8-Feb-02,397,405
15-Feb-02,397,403
22-Feb-02,398,399
1-Mar-02,392,396
8-Mar-02,399,396.5
15-Mar-02,392,395.25
22-Mar-02,415,399.5
29-Mar-02,479,421.25
5-Apr-02,445,432.75
12-Apr-02,442,445.25
19-Apr-02,416,445.5
26-Apr-02,414,429.25
3-May-02,409,420.25
10-May-02,413,413
17-May-02,411,411.75
24-May-02,403,409
31-May-02,378,401.25
7-Jun-02,388,395
14-Jun-02,396,391.25
21-Jun-02,388,387.5
28-Jun-02,386,389.5
5-Jul-02,391,390.25
12-Jul-02,384,387.25
19-Jul-02,379,385
26-Jul-02,390,386
2-Aug-02,388,385.25
9-Aug-02,389,386.5
16-Aug-02,399,391.5
23-Aug-02,398,393.5
30-Aug-02,394,395
6-Sep-02,416,401.75
13-Sep-02,412,405
20-Sep-02,401,405.75
27-Sep-02,409,409.5
4-Oct-02,404,406.5
11-Oct-02,405,404.75
18-Oct-02,412,407.5
25-Oct-02,409,407.5
1-Nov-02,405,407.75
8-Nov-02,400,406.5
15-Nov-02,389,400.75
22-Nov-02,390,396
29-Nov-02,377,389
6-Dec-02,425,395.25
13-Dec-02,429,405.25
20-Dec-02,394,406.25
27-Dec-02,409,414.25
3-Jan-03,393,406.25
10-Jan-03,378,393.5
17-Jan-03,402,395.5
24-Jan-03,407,395
31-Jan-03,413,400
7-Feb-03,390,403
14-Feb-03,420,407.5
21-Feb-03,421,411
28-Feb-03,436,416.75
7-Mar-03,424,425.25
14-Mar-03,430,427.75
21-Mar-03,411,425.25
28-Mar-03,436,425.25
4-Apr-03,417,423.5
11-Apr-03,434,424.5
18-Apr-03,450,434.25
25-Apr-03,444,436.25
2-May-03,428,439
9-May-03,417,434.75
16-May-03,425,428.5
23-May-03,419,422.25
30-May-03,431,423
6-Jun-03,429,426
13-Jun-03,421,425
20-Jun-03,408,422.25
27-Jun-03,429,421.75
4-Jul-03,433,422.75
11-Jul-03,412,420.5
18-Jul-03,403,419.25
25-Jul-03,398,411.5
1-Aug-03,401,403.5
8-Aug-03,404,401.5
15-Aug-03,398,400.25
22-Aug-03,391,398.5
29-Aug-03,407,400
5-Sep-03,422,404.5
12-Sep-03,394,403.5
19-Sep-03,379,400.5
26-Sep-03,387,395.5
3-Oct-03,386,386.5
10-Oct-03,376,382
17-Oct-03,387,384
24-Oct-03,379,382
31-Oct-03,363,376.25
7-Nov-03,371,375
14-Nov-03,370,370.75
21-Nov-03,354,364.5
28-Nov-03,357,363
5-Dec-03,367,362
12-Dec-03,363,360.25
19-Dec-03,354,360.25
26-Dec-03,349,358.25
2-Jan-04,356,355.5
9-Jan-04,354,353.25
16-Jan-04,362,355.25
23-Jan-04,353,356.25
30-Jan-04,376,361.25
6-Feb-04,380,367.75
13-Feb-04,356,366.25
20-Feb-04,359,367.75
27-Feb-04,348,360.75
5-Mar-04,344,351.75
12-Mar-04,338,347.25
19-Mar-04,346,344
26-Mar-04,340,342
2-Apr-04,335,339.75
9-Apr-04,355,344
16-Apr-04,364,348.5
23-Apr-04,339,348.25
30-Apr-04,324,345.5
7-May-04,329,339
14-May-04,349,335.25
21-May-04,342,336
28-May-04,337,339.25
4-Jun-04,355,345.75
11-Jun-04,339,343.25
18-Jun-04,354,346.25
25-Jun-04,348,349
2-Jul-04,326,341.75
9-Jul-04,345,343.25
16-Jul-04,355,343.5
23-Jul-04,348,343.5
30-Jul-04,341,347.25
6-Aug-04,336,345
13-Aug-04,332,339.25
20-Aug-04,343,338
27-Aug-04,352,340.75
3-Sep-04,326,338.25
10-Sep-04,331,338
17-Sep-04,341,337.5
24-Sep-04,351,337.25
1-Oct-04,335,339.5
8-Oct-04,338,341.25
15-Oct-04,327,337.75
22-Oct-04,338,334.5
29-Oct-04,332,333.75
5-Nov-04,330,331.75
12-Nov-04,337,334.25
19-Nov-04,313,328
26-Nov-04,335,328.75
3-Dec-04,343,332
10-Dec-04,316,326.75
17-Dec-04,322,329
24-Dec-04,320,325.25
31-Dec-04,356,328.5
7-Jan-05,369,341.75
14-Jan-05,332,344.25
21-Jan-05,329,346.5
28-Jan-05,331,340.25
4-Feb-05,307,324.75
11-Feb-05,308,318.75
18-Feb-05,318,316
25-Feb-05,314,311.75
4-Mar-05,333,318.25
11-Mar-05,324,322.25
18-Mar-05,329,325
25-Mar-05,342,332
1-Apr-05,335,332.5
8-Apr-05,323,332.25
15-Apr-05,307,326.75
22-Apr-05,317,320.5
29-Apr-05,334,320.25
6-May-05,327,321.25
13-May-05,321,324.75
20-May-05,320,325.5
27-May-05,340,327
3-Jun-05,338,329.75
10-Jun-05,333,332.75
17-Jun-05,321,333
24-Jun-05,311,325.75
1-Jul-05,327,323
8-Jul-05,338,324.25
15-Jul-05,323,324.75
22-Jul-05,318,326.5
29-Jul-05,316,323.75
