"","region","urb","lit","voteshare","absolute_wealth"
"153","Region 2",0.186498939990997,0.398520201444626,0.0630320906639099,2783862
"154","Region 2",0.149098843336105,0.428374171257019,0.163252398371696,33999.98828125
"155","Region 2",0.0507301837205887,0.293796300888062,0.0981608852744102,614999.75
"156","Region 2",0.149098843336105,0.428374171257019,0.155823215842247,158314.921875
"157","Region 2",0.0595296286046505,0.323483973741531,0.273777723312378,1402543.75
"158","Region 2",0.0363600961863995,0.356767565011978,0.436606645584106,1850499.875
"159","Region 2",0.0456306077539921,0.38156846165657,0.167881086468697,240000.03125
"160","Region 2",0.0638209357857704,0.295618563890457,0.2200578302145,627249.75
"161","Region 2",0.0738901719450951,0.445161670446396,0.10898669809103,2
"162","Region 2",0.133260130882263,0.491803735494614,0.0877359211444855,888515.6875
"163","Region 2",0.13922156393528,0.478350907564163,0.0692140758037567,2
"164","Region 2",0.417269378900528,0.519964635372162,0.105480492115021,2
"165","Region 2",0.13922156393528,0.478350907564163,0.477128922939301,47000.99609375
"166","Region 2",0.0912156403064728,0.273806154727936,0.333330541849136,15001.00390625
"167","Region 2",0.13922156393528,0.478350907564163,0.129458263516426,2
"168","Region 2",0.0606400147080421,0.379150152206421,0.167153865098953,70999.984375
"169","Region 2",0.149098843336105,0.428374171257019,0.0878259167075157,304993.875
"170","Region 2",0.10168768465519,0.306343823671341,0.0844307020306587,9001.0009765625
"171","Region 2",0.133260130882263,0.491803735494614,0.352219521999359,46201.01171875
"172","Region 2",0.0544314682483673,0.41189506649971,0.325819790363312,412951.96875
"173","Region 2",0.417269378900528,0.519964635372162,0.301706880331039,2
"174","Region 2",0.0838690474629402,0.45739734172821,0.215468376874924,934999.6875
"175","Region 2",0.13922156393528,0.478350907564163,0.254242539405823,78736.03125
"176","Region 2",0.0544314682483673,0.41189506649971,0.338145911693573,117200.046875
"177","Region 2",0.417269378900528,0.519964635372162,0.14840792119503,NA
"178","Region 2",0.13922156393528,0.478350907564163,0.0922364890575409,18000.998046875
"179","Region 2",0.0838690474629402,0.45739734172821,0.244175493717194,969499.6875
"180","Region 2",0.136764317750931,0.404629945755005,0.280978739261627,2
"181","Region 2",0.154709205031395,0.384460955858231,0.439203053712845,3218618.25
"182","Region 2",0.0638209357857704,0.295618563890457,0.335886746644974,7519998.5
"183","Region 2",0.0912156403064728,0.273806154727936,0.329090863466263,192000.03125
"184","Region 2",0.0571252293884754,0.304806679487228,0.268570393323898,877274.375
"185","Region 2",0.0507301837205887,0.293796300888062,0.2208401709795,1763168
"186","Region 2",0.0766239166259766,0.375275731086731,0.416621446609497,2
"187","Region 2",0.0685975402593613,0.40396648645401,0.338148236274719,15116533
"188","Region 2",0.10168768465519,0.306343823671341,0.248615428805351,5027077.5
"189","Region 2",0.0571252293884754,0.304806679487228,0.289396822452545,933000
"190","Region 2",0.154709205031395,0.384460955858231,0.347507297992706,2441174.25
